length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
BenchmarkOptimizedCreateMemProofOverTime - starting
goos: linux
goarch: amd64
pkg: example/merkleTree/verkleTree
cpu: AMD EPYC 9R14
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1000-32      	      10	 130789902 ns/op	240284149 B/op	    1006 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1010-32      	      10	 127344747 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1020-32      	      10	 127864852 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1030-32      	      10	 126860202 ns/op	240280258 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1040-32      	      10	 124968316 ns/op	240276367 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1050-32      	      10	 126049352 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1060-32      	      10	 127024260 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1070-32      	      10	 126774619 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1080-32      	      10	 126408101 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1090-32      	      10	 126950131 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1100-32      	      10	 128509453 ns/op	240282204 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1110-32      	      10	 121641923 ns/op	240272476 B/op	     776 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1120-32      	      10	 125547173 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1130-32      	      10	 127893424 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1140-32      	      10	 128601434 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1150-32      	      10	 125864900 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1160-32      	      10	 125395917 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1170-32      	      10	 124838099 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1180-32      	      10	 129115624 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1190-32      	      10	 124847096 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1200-32      	      10	 127867323 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1210-32      	      10	 129427233 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1220-32      	      10	 125966837 ns/op	240277545 B/op	     881 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1230-32      	      10	 124802100 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1240-32      	      10	 128757412 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1250-32      	      10	 129923947 ns/op	240284160 B/op	    1007 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1260-32      	      10	 127602759 ns/op	240280268 B/op	     930 allocs/op
