length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
BenchmarkOptimizedVerifyMembershipProof - starting
Time spent after witness 1 11.2µs
Time spent after witness 2 19.89µs
goos: linux
goarch: amd64
pkg: example/merkleTree/verkleTree
cpu: AMD EPYC 9R14
BenchmarkOptimizedVerifyMembershipProof/fan-out:_32,_certs:_8000000-32        	    1000	  20256837 ns/op	    6640 B/op	      20 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_64,_certs:_8000000-32        	    1000	  16206643 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_128,_certs:_8000000-32       	    1000	  16208177 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_256,_certs:_8000000-32       	    1000	  12157017 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_512,_certs:_8000000-32       	    1000	  12153762 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_1024,_certs:_8000000-32      	    1000	  12155980 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_2,_certs:_9000000-32         	    1000	  97240228 ns/op	   31872 B/op	      96 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_4,_certs:_9000000-32         	    1000	  48415451 ns/op	   15936 B/op	      48 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_8,_certs:_9000000-32         	    1000	  32276084 ns/op	   10624 B/op	      32 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_16,_certs:_9000000-32        	    1000	  24203328 ns/op	    7968 B/op	      24 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_32,_certs:_9000000-32        	    1000	  20166967 ns/op	    6640 B/op	      20 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_64,_certs:_9000000-32        	    1000	  16141542 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_128,_certs:_9000000-32       	    1000	  16140335 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_256,_certs:_9000000-32       	    1000	  12100168 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_512,_certs:_9000000-32       	    1000	  12101610 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_1024,_certs:_9000000-32      	    1000	  12112412 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_2,_certs:_10000000-32        	    1000	  96835495 ns/op	   31872 B/op	      96 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_4,_certs:_10000000-32        	    1000	  48435420 ns/op	   15936 B/op	      48 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_8,_certs:_10000000-32        	    1000	  32280403 ns/op	   10624 B/op	      32 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_16,_certs:_10000000-32       	    1000	  24203120 ns/op	    7968 B/op	      24 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_32,_certs:_10000000-32       	    1000	  20176156 ns/op	    6640 B/op	      20 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_64,_certs:_10000000-32       	    1000	  16139263 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_128,_certs:_10000000-32      	    1000	  16133521 ns/op	    5312 B/op	      16 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_256,_certs:_10000000-32      	    1000	  12099487 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_512,_certs:_10000000-32      	    1000	  12103582 ns/op	    3984 B/op	      12 allocs/op
BenchmarkOptimizedVerifyMembershipProof/fan-out:_1024,_certs:_10000000-32     	    1000	  12104251 ns/op	    3984 B/op	      12 allocs/op
PASS
ok  	example/merkleTree/verkleTree	38861.074s
