length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
BenchmarkOptimizedCreateMemProofOverTime - starting
goos: linux
goarch: amd64
pkg: example/merkleTree/verkleTree
cpu: AMD EPYC 9R14
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#97-32      	       1	  98126618 ns/op	240044688 B/op	     200 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#98-32      	       1	  99874444 ns/op	240045904 B/op	     224 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#99-32      	       1	  99315712 ns/op	240045904 B/op	     224 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1-32         	       1	 128257723 ns/op	240050056 B/op	     306 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#01-32      	       1	 121375153 ns/op	240049552 B/op	     296 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#02-32      	       1	 120776070 ns/op	240046792 B/op	     240 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#03-32      	       1	 121490254 ns/op	240049224 B/op	     288 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#04-32      	       1	 111202153 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#05-32      	       1	 112384577 ns/op	240047728 B/op	     260 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#06-32      	       1	 111691134 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#07-32      	       1	 110382960 ns/op	240048336 B/op	     272 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#08-32      	       1	 111790284 ns/op	240047728 B/op	     260 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#09-32      	       1	 112124545 ns/op	240048336 B/op	     272 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#10-32      	       1	 111649144 ns/op	240048944 B/op	     284 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#11-32      	       1	 108081383 ns/op	240044080 B/op	     188 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#12-32      	       1	 113610280 ns/op	240049768 B/op	     302 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#13-32      	       1	 100163059 ns/op	240047120 B/op	     248 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#14-32      	       1	 100523210 ns/op	240047120 B/op	     248 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#15-32      	       1	 100192849 ns/op	240048336 B/op	     272 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#16-32      	       1	  98103592 ns/op	240045296 B/op	     212 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_1#17-32      	       1	 104119400 ns/op	240047120 B/op	     248 allocs/op
